CNO,SEX,GPA,CLASS,ACCOUNTANCY,ADV/MATHS,AGRICULTURE,ARABIC,BAM,BIOLOGY,CHEMISTRY,COMMERCE,COMP/SCIENCE,DIVINITY,ECONOMICS,ENGLISH,F & HN NUTRITION,FRENCH,G/STUDIES,GEOGR,HISTORY,IS/KNOWLEDGE,KISWAHILI,PHYSICS
P0101/0501,F,-,FAIL,X,E,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0502,F,2.0,CREDIT,X,X,,,F,C,D,,,X,X,X,,,F,B,X,X,X,X
P0101/0503,F,0.3,FAIL,X,X,,,F,D,E,,,X,X,X,,,X,X,X,X,X,F
P0101/0504,F,-,FAIL,X,X,,,X,X,X,,,X,X,X,,,X,X,D,X,X,X
P0101/0505,F,-,PASS,X,X,,,X,X,X,,,X,X,C,,,X,X,D,X,X,X
P0101/0506,F,-,FAIL,X,X,,,F,E,E,,,X,X,X,,,E,X,X,X,X,X
P0101/0507,M,0.3,FAIL,X,D,,,X,X,E,,,X,X,X,,,F,X,X,X,X,F
P0101/0508,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0509,M,-,FAIL,X,E,,,X,X,X,,,X,X,X,,,F,X,X,X,X,X
P0101/0510,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0511,M,-,PASS,X,D,,,X,X,D,,,X,X,X,,,X,X,X,X,X,X
P0101/0512,M,-,FAIL,X,F,,,X,X,X,,,X,X,X,,,X,X,X,X,X,D
P0101/0513,M,0.3,FAIL,X,D,,,X,X,E,,,X,X,X,,,F,X,X,X,X,E
P0101/0514,M,0.0,FAIL,X,F,,,X,X,X,,,C,F,X,,,E,E,X,X,X,X
P0101/0515,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0516,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0517,M,0.3,FAIL,X,F,,,X,X,X,,,X,E,X,,,X,D,X,X,X,X
P0101/0518,M,-,PASS,X,X,,,X,X,X,,,X,X,B,,,E,D,X,X,X,X
P0101/0519,M,3.0,MERIT,X,X,,,X,X,X,,,X,X,+,,,E,X,C,X,B,X
P0101/0520,M,1.7,CREDIT,X,X,,,X,X,X,,,X,X,X,,,E,D,C,X,C,X
P0101/0521,M,0.0,FAIL,X,E,,,X,X,E,,,X,X,X,,,X,X,X,X,X,E
P0101/0522,M,2.7,CREDIT,X,X,,,X,X,X,,,X,X,+,,,E,X,C,X,C,X
P0101/0523,M,0.7,PASS,X,D,,,X,X,D,,,X,X,X,,,F,X,X,X,X,E
P0101/0524,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0525,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0526,M,0.7,PASS,X,E,,,X,X,X,,,X,X,X,,,E,C,X,X,X,F
P0101/0527,M,-,FAIL,X,E,,,X,X,X,,,X,X,X,,,X,X,X,X,X,F
P0101/0528,M,0.3,FAIL,X,D,,,X,X,E,,,X,X,X,,,F,X,X,F,X,E
P0101/0529,M,0.0,FAIL,X,E,,,X,X,E,,,X,X,X,,,F,X,X,X,X,F
P0101/0530,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0531,M,1.0,PASS,X,X,,,X,X,X,,,X,X,C,,,E,X,E,X,D,X
P0101/0532,M,0.7,PASS,X,F,,,X,X,X,,,X,E,X,,,X,C,X,X,X,X
P0101/0533,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0534,M,0.0,FAIL,X,X,,,F,E,F,,,X,X,X,,,E,X,X,X,X,F
P0101/0535,M,2.0,CREDIT,X,X,,,D,B,B,,,X,X,X,,,E,X,X,X,X,E
P0101/0536,M,0.0,FAIL,X,F,,,X,X,F,,,X,X,X,,,F,X,X,X,X,F
P0101/0537,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0538,M,1.0,PASS,X,X,,,F,C,D,,,X,X,X,,,F,X,X,X,X,E
P0101/0539,M,-,FAIL,X,F,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0540,M,1.3,PASS,X,X,,,X,X,X,,,X,X,X,,,X,C,D,X,D,X
P0101/0541,M,0.0,FAIL,X,F,,,X,X,F,,,X,X,X,,,X,X,X,X,X,F
P0101/0542,M,0.3,FAIL,X,X,,,F,E,F,,,X,X,X,,,X,D,X,X,X,X
P0101/0543,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0544,M,0.0,FAIL,X,X,,,X,F,E,,,X,X,X,,,X,X,X,X,X,F
P0101/0545,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0546,M,1.3,PASS,X,X,,,E,C,C,,,X,X,X,,,E,X,X,X,X,F
P0101/0547,M,2.3,CREDIT,X,X,,,X,X,X,,,X,X,B,,,E,X,C,X,C,X
P0101/0548,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0549,M,0.0,FAIL,X,X,,,X,E,F,,,X,X,X,,,F,E,X,X,X,X
P0101/0550,M,-,ABS,X,X,,,X,X,X,,,X,X,X,,,X,X,X,X,X,X
P0101/0551,M,0.7,PASS,X,E,,,X,X,D,,,X,X,X,,,F,X,X,X,X,D
P0101/0552,M,0.0,FAIL,X,E,,,X,X,E,,,X,X,X,,,X,X,X,X,X,F
P0104/0501,F,2.3,CREDIT,,X,,,X,X,X,,,,X,C,,,D,X,C,,B,X
P0104/0502,F,2.0,CREDIT,,X,,,X,X,X,,,,X,C,,,D,X,C,,C,X
P0104/0503,F,2.7,CREDIT,,X,,,X,X,X,,,,X,B,,,E,X,D,,+,X
P0104/0504,F,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0505,F,2.0,CREDIT,,X,,,X,X,X,,,,X,B,,,E,X,D,,C,X
P0104/0506,F,2.0,CREDIT,,X,,,X,X,X,,,,X,D,,,F,X,C,,B,X
P0104/0507,F,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0508,F,2.0,CREDIT,,X,,,X,X,X,,,,X,B,,,F,X,D,,C,X
P0104/0509,F,2.0,CREDIT,,X,,,X,X,X,,,,X,C,,,E,X,C,,C,X
P0104/0510,F,1.7,CREDIT,,X,,,X,X,X,,,,X,C,,,F,X,E,,B,X
P0104/0511,M,0.0,FAIL,,X,,,X,F,F,,,,X,X,,,F,E,X,,X,X
P0104/0512,M,0.3,FAIL,,X,,,X,E,F,,,,X,X,,,E,D,X,,X,X
P0104/0513,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0514,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0515,M,2.3,CREDIT,,X,,,X,X,X,,,,X,B,,,E,X,C,,C,X
P0104/0516,M,2.7,CREDIT,,X,,,X,X,X,,,,X,+,,,D,C,C,,X,X
P0104/0517,M,2.0,CREDIT,,X,,,D,B,C,,,,X,X,,,E,X,X,,X,D
P0104/0518,M,1.0,PASS,,X,,,X,X,X,,,,X,X,,,E,E,D,,C,X
P0104/0519,M,3.3,MERIT,,X,,,X,X,X,,,,X,+,,,E,X,B,,B,X
P0104/0520,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0521,M,1.7,CREDIT,,X,,,X,X,X,,,,X,C,,,E,X,D,,C,X
P0104/0522,M,2.7,CREDIT,,X,,,X,X,X,,,,X,B,,,E,X,C,,B,X
P0104/0523,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0524,M,0.7,PASS,,X,,,X,X,X,,,,X,X,,,F,E,E,,C,X
P0104/0525,M,1.0,PASS,,X,,,X,X,X,,,,X,X,,,F,E,D,,C,X
P0104/0526,M,3.3,MERIT,,X,,,X,X,X,,,,X,+,,,D,X,B,,B,X
P0104/0527,M,-,FAIL,,X,,,X,X,X,,,,X,X,,,E,D,X,,X,X
P0104/0528,M,1.3,PASS,,X,,,X,C,C,,,,X,X,,,X,X,X,,X,E
P0104/0529,M,-,PASS,,E,,,X,X,X,,,,X,X,,,E,C,X,,X,X
P0104/0530,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0531,M,2.0,CREDIT,,X,,,X,X,X,,,,X,C,,,F,X,C,,C,X
P0104/0532,M,3.3,MERIT,,X,,,X,X,X,,,,X,B,,,E,X,+,,B,X
P0104/0533,M,0.3,FAIL,,E,,,X,X,X,,,,D,X,,,F,E,X,,X,X
P0104/0534,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0535,M,0.7,PASS,,X,,,X,X,X,,,,X,X,,,F,D,D,,E,X
P0104/0536,M,1.7,CREDIT,,X,,,E,C,C,,,,X,X,,,E,X,X,,X,D
P0104/0537,M,0.3,FAIL,,E,,,X,X,E,,,,X,X,,,X,X,X,,X,D
P0110/0501,F,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0502,F,0.7,PASS,X,X,,,X,X,X,X,,X,X,X,,,E,D,D,X,E,X
P0110/0503,F,3.0,MERIT,X,X,,,X,X,X,X,,X,X,X,,,D,B,B,X,B,X
P0110/0504,F,3.0,MERIT,X,X,,,X,X,X,X,,X,X,B,,,D,X,B,X,B,X
P0110/0505,F,2.7,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,C,X,B,X
P0110/0506,F,1.3,PASS,X,X,,,F,D,E,X,,X,X,X,,,E,B,X,X,X,X
P0110/0507,F,3.0,MERIT,X,X,,,X,X,X,X,,X,X,+,,,E,X,C,X,B,X
P0110/0508,F,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,D,C,C,X,X,X
P0110/0509,F,3.0,MERIT,X,X,,,X,X,X,X,,X,X,B,,,D,X,B,X,B,X
P0110/0510,F,2.0,CREDIT,X,X,,,X,X,X,X,,X,X,X,,,E,C,D,X,B,X
P0110/0511,F,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,D,X,B,X
P0110/0512,F,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0513,F,2.7,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,C,X,B,X
P0110/0514,F,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0515,F,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,X,,,E,C,B,X,C,X
P0110/0516,F,3.0,MERIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,B,X,B,X
P0110/0517,F,1.0,PASS,X,X,,,X,X,X,X,,X,X,D,,,F,X,D,X,D,X
P0110/0518,F,2.7,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,C,X,B,X
P0110/0519,F,1.0,PASS,X,X,,,X,X,X,X,,X,X,D,,,F,X,D,X,D,X
P0110/0520,F,0.7,PASS,X,X,,,X,X,X,X,,X,X,E,,,F,X,E,X,C,X
P0110/0521,F,2.7,CREDIT,X,X,,,X,X,X,X,,X,X,X,,,D,B,B,X,C,X
P0110/0522,F,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,X,,,E,B,C,X,C,X
P0110/0523,F,2.0,CREDIT,X,X,,,X,X,X,X,,X,X,C,,,E,X,C,X,C,X
P0110/0524,F,1.7,CREDIT,X,X,,,X,X,X,X,,X,X,C,,,E,X,D,X,C,X
P0110/0525,F,0.7,PASS,X,X,,,X,X,X,X,,X,X,D,,,F,X,E,X,D,X
P0110/0526,F,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,C,,,E,X,C,X,B,X
P0110/0527,F,2.7,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,C,X,B,X
P0110/0528,F,3.0,MERIT,X,X,,,X,X,X,X,,X,X,+,,,E,X,C,X,B,X
P0110/0529,F,3.7,DISTINCTION,X,X,,,X,X,X,X,,X,X,+,,,D,+,B,X,X,X
P0110/0530,F,3.0,MERIT,X,X,,,X,X,X,X,,X,X,X,,,E,+,B,X,C,X
P0110/0531,F,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0532,F,3.3,MERIT,X,X,,,X,X,X,X,,X,X,+,,,E,X,B,X,B,X
P0110/0533,F,2.0,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,F,X,D,X,C,X
P0110/0534,F,3.3,MERIT,X,X,,,X,X,X,X,,X,X,X,,,E,+,B,X,B,X
P0110/0535,F,2.0,CREDIT,X,X,,,X,X,X,X,,X,X,X,,,E,C,C,X,C,X
P0110/0536,F,2.0,CREDIT,X,X,,,X,X,X,X,,X,X,+,,,E,X,D,X,D,X
P0110/0537,F,0.3,FAIL,X,F,,,X,X,X,X,,X,E,X,,,F,D,X,X,X,X
P0110/0538,F,3.0,MERIT,X,X,,,X,X,X,X,,X,X,B,,,D,B,B,X,X,X
P0110/0539,F,2.7,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,C,X,B,X
P0110/0540,F,2.0,CREDIT,X,X,,,X,X,X,X,,X,X,D,,,E,X,C,X,B,X
P0110/0541,F,1.3,PASS,X,X,,,X,X,X,X,,X,X,D,,,F,C,D,X,X,X
