CNO,SEX,AGGT,DIV,ACCOUNTANCY,ADV/MATHS,AGRICULTURE,ARABIC,BAM,BIOLOGY,CHEMISTRY,COMMERCE,COMP/SCIENCE,DIVINITY,ECONOMICS,ENGLISH,F & HN NUTRITION,FRENCH,G/STUDIES,GEOGR,HISTORY,IS/KNOWLEDGE,KISWAHILI,PHYSICS
P0101/0501,F,17,III,X,X,,,X,X,X,X,,,X,X,,,F,S,E,,S,X
P0101/0502,F,15,III,X,X,,,X,X,X,X,,,S,X,,,X,D,E,,X,X
P0101/0503,F,19,IV,X,X,,,F,F,F,X,,,X,X,,,F,E,X,,X,X
P0101/0504,F,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0505,F,-,0,X,X,,,F,S,F,X,,,X,X,,,X,X,X,,X,X
P0101/0506,F,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0507,F,21,0,X,X,,,F,F,F,X,,,X,X,,,X,X,X,,X,F
P0101/0508,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0509,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0510,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0511,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0512,M,-,0,X,X,,,F,F,X,X,,,X,X,,,F,F,X,,X,X
P0101/0513,M,21,0,X,X,,,X,X,X,X,,,X,X,,,F,F,F,,F,X
P0101/0514,M,17,III,X,X,,,X,X,X,X,,,X,X,,,F,E,E,,F,X
P0101/0515,M,19,IV,X,X,,,F,X,X,X,,,F,X,,,F,E,F,,X,X
P0101/0516,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0517,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0518,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0519,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0520,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0521,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
