exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S0101 AZANIA,CENTRE WITH 40 CANDIDATES OR MORE,369/3908,40/237,2.9869,DAR ES SALAAM,228,254,0,254,0,0,254,45,91,50,42,26
S0104 BWIRU BOYS',CENTRE WITH 40 CANDIDATES OR MORE,267/3908,22/246,2.7795,MWANZA,119,119,0,119,0,0,119,23,52,27,17,0
S0105 CHIDYA,CENTRE WITH 40 CANDIDATES OR MORE,454/3908,6/118,3.1457,MTWARA,72,73,0,73,0,0,73,10,15,22,25,1
S0106 DUNG'UNYI SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,41/1011,1/45,2.4541,SINGIDA,37,37,0,37,0,0,37,13,16,6,2,0
S0107 LUTHERAN JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,274/3908,16/176,2.7871,MOROGORO,84,84,0,84,0,0,84,8,44,25,7,0
S0108 IFUNDA TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,372/3908,16/134,2.9902,IRINGA,173,179,1,178,0,0,178,39,41,57,36,5
S0110 ILBORU,CENTRE WITH 40 CANDIDATES OR MORE,36/3908,3/178,1.7210,ARUSHA,125,125,0,125,0,0,125,94,26,3,2,0
S0111 ITAGA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,33/1011,2/65,2.3531,TABORA,28,28,0,28,0,0,28,8,15,5,0,0
S0112 IYUNGA TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,346/3908,15/187,2.9422,MBEYA,115,123,1,122,0,0,122,27,31,37,20,7
S0113 MAFINGA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,74/3908,5/134,2.0356,IRINGA,45,45,0,45,0,0,45,25,20,0,0,0
