exam_center,CODE,SUBJECT NAME,REG,SAT,NO-CA,W/HD,CLEAN,PASS,GPA,REG/RANK,NAT/RANK
S5824 SHADAIMU,11,CIVICS,9,9,0,0,9,5,4.2222,224/265,3278/4919
S5824 SHADAIMU,12,HISTORY,9,9,0,0,9,4,4.4444,185/264,3035/4896
S5824 SHADAIMU,13,GEOGRAPHY,9,9,0,0,9,4,4.3333,180/265,2808/4916
S5824 SHADAIMU,21,KISWAHILI,9,9,0,0,9,7,3.6667,227/265,4318/4919
S5824 SHADAIMU,22,ENGLISH LANGUAGE,9,9,0,0,9,5,4.2222,200/265,3296/4919
S5824 SHADAIMU,31,PHYSICS,9,9,0,0,9,1,4.8889,255/263,4006/4680
S5824 SHADAIMU,32,CHEMISTRY,9,9,0,0,9,3,4.4444,258/264,4247/4883
S5824 SHADAIMU,33,BIOLOGY,9,9,0,0,9,6,4.1111,133/265,2041/4916
S5824 SHADAIMU,41,BASIC MATHEMATICS,9,9,0,0,9,2,4.6667,106/265,1391/4919
S5810 BULINGA,11,CIVICS,58,56,0,0,56,24,4.4643,165/198,4250/4919
S5810 BULINGA,12,HISTORY,58,56,0,0,56,19,4.5536,123/197,3607/4896
S5810 BULINGA,13,GEOGRAPHY,58,56,0,0,56,10,4.8036,197/198,4756/4916
S5810 BULINGA,21,KISWAHILI,58,56,0,0,56,45,3.7679,165/198,4523/4919
S5810 BULINGA,22,ENGLISH LANGUAGE,58,56,0,0,56,28,4.4286,164/198,4177/4919
S5810 BULINGA,31,PHYSICS,40,38,0,0,38,1,4.9737,183/195,4311/4680
S5810 BULINGA,32,CHEMISTRY,54,52,0,0,52,8,4.8269,197/198,4804/4883
S5810 BULINGA,33,BIOLOGY,58,56,0,0,56,15,4.6786,192/198,4495/4916
S5810 BULINGA,41,BASIC MATHEMATICS,58,56,0,0,56,4,4.9286,173/198,3861/4919
S5780 JEHOVAH SHAMMAH,11,CIVICS,7,7,0,0,7,7,3.1429,10/140,478/4919
S5780 JEHOVAH SHAMMAH,12,HISTORY,7,7,0,0,7,7,3.4286,8/140,450/4896
S5780 JEHOVAH SHAMMAH,13,GEOGRAPHY,7,7,0,0,7,6,3.5714,13/140,639/4916
S5780 JEHOVAH SHAMMAH,21,KISWAHILI,7,7,0,0,7,7,2.5714,10/140,480/4919
S5780 JEHOVAH SHAMMAH,22,ENGLISH LANGUAGE,7,7,0,0,7,7,3.0,14/140,542/4919
S5780 JEHOVAH SHAMMAH,31,PHYSICS,7,7,0,0,7,3,4.5714,73/139,2488/4680
S5780 JEHOVAH SHAMMAH,32,CHEMISTRY,7,7,0,0,7,7,3.7143,47/140,1900/4883
S5780 JEHOVAH SHAMMAH,33,BIOLOGY,7,7,0,0,7,7,2.8571,6/140,303/4916
S5780 JEHOVAH SHAMMAH,41,BASIC MATHEMATICS,7,7,0,0,7,5,4.0,9/140,415/4919
S5764 SHAMUSLEIY ACADEMY,11,CIVICS,11,11,0,0,11,6,4.1818,46/88,3097/4919
S5764 SHAMUSLEIY ACADEMY,13,GEOGRAPHY,11,11,0,0,11,5,4.4545,44/87,3502/4916
S5764 SHAMUSLEIY ACADEMY,15,ELIMU YA DINI YA KIISLAMU,11,11,0,0,11,5,4.4545,70/88,709/1135
S5764 SHAMUSLEIY ACADEMY,21,KISWAHILI,11,11,0,0,11,11,3.2727,34/88,2699/4919
S5764 SHAMUSLEIY ACADEMY,22,ENGLISH LANGUAGE,11,11,0,0,11,7,4.1818,53/88,3088/4919
S5764 SHAMUSLEIY ACADEMY,24,LITERATURE IN ENGLISH,11,11,0,0,11,4,4.6364,1/1,1364/1533
S5764 SHAMUSLEIY ACADEMY,31,PHYSICS,11,11,0,0,11,2,4.8182,63/84,3641/4680
S5764 SHAMUSLEIY ACADEMY,32,CHEMISTRY,11,11,0,0,11,8,4.0909,56/86,3225/4883
S5764 SHAMUSLEIY ACADEMY,33,BIOLOGY,11,11,0,0,11,5,4.3636,56/87,3140/4916
S5764 SHAMUSLEIY ACADEMY,41,BASIC MATHEMATICS,11,11,0,0,11,1,4.9091,46/88,3596/4919
S5762 IBN HAMBAL ISLAMIC,11,CIVICS,24,24,0,0,24,23,3.4583,53/245,845/4919
S5762 IBN HAMBAL ISLAMIC,12,HISTORY,24,24,0,0,24,21,3.6667,41/245,691/4896
S5762 IBN HAMBAL ISLAMIC,13,GEOGRAPHY,24,24,0,0,24,23,3.5417,37/245,600/4916
S5762 IBN HAMBAL ISLAMIC,15,ELIMU YA DINI YA KIISLAMU,19,19,0,0,19,15,3.8421,5/26,204/1135
S5762 IBN HAMBAL ISLAMIC,21,KISWAHILI,24,24,0,0,24,24,2.8333,51/245,993/4919
S5762 IBN HAMBAL ISLAMIC,22,ENGLISH LANGUAGE,24,24,0,0,24,23,2.9167,31/245,479/4919
S5762 IBN HAMBAL ISLAMIC,25,ARABIC LANGUAGE,5,5,0,0,5,5,3.2,2/5,31/308
S5762 IBN HAMBAL ISLAMIC,31,PHYSICS,15,15,0,0,15,11,4.2,89/243,1170/4680
S5762 IBN HAMBAL ISLAMIC,32,CHEMISTRY,15,15,0,0,15,15,3.4,57/245,941/4883
S5762 IBN HAMBAL ISLAMIC,33,BIOLOGY,24,24,0,0,24,24,3.2917,42/245,631/4916
S5762 IBN HAMBAL ISLAMIC,41,BASIC MATHEMATICS,24,24,0,0,24,13,4.125,32/245,493/4919
S5742 MWERA SUPER,11,CIVICS,12,12,0,0,12,8,3.9167,38/88,1932/4919
S5742 MWERA SUPER,12,HISTORY,11,11,0,0,11,4,4.6364,43/82,4046/4896
S5742 MWERA SUPER,13,GEOGRAPHY,12,12,0,0,12,5,4.4167,42/87,3256/4916
S5742 MWERA SUPER,15,ELIMU YA DINI YA KIISLAMU,12,12,0,0,12,8,4.1667,43/88,398/1135
S5742 MWERA SUPER,21,KISWAHILI,12,12,0,0,12,10,3.75,62/88,4488/4919
